id;practitioner_type;registration_number;title;surname;forenames;previous_surname;dob;gender;place_of_birth_town;place_of_birth_country;nationality;national_id;marital_status;residential_address_1;residential_address_2;residential_address_3;home_phone;work_phone;cell_phone;email_address;name_of_place_of_employment;employer_address;employer_email;date_of_employment;area_of_employment;employment_status;type_of_institution;province_employed;reason_for_non_employment;date_of_application;application_fee;status;reason_not_approved
1;POCTester;towards black-and-white um;Miss;shovel pace over;finally;beside;2025-01-17;Male;shrilly fit;furlough;hm;rusty obedience;Other;barring;vein now inasmuch;heartache smuggle;happy soybean unaware;readjust turbulent why;certification courageously;although lest;contrail zowie painfully;sonata qua out;quarterly gee;gah;Other;PartTime;Agency;Bulawayo;uh-huh;dimly;mentor;below excitable;kiddingly by
2;ClinicalScientist;yippee;Mr;whopping instead;finally severe aside;improbable suspiciously;2025-01-17;Male;probate yearn before;long-term;whereas;broadside;Other;culture geez;if;ajar;clamor responsibility anneal;by;pessimistic;syringe pfft government;wherever etch circumnavigate;perp softly mid;beard;yet finally;Other;PartTime;Mines;Masvingo;disposer;regal offensively;how integer;judicious dull;tragic bright
3;Certified;bah;Mrs;although wherever outrun;outgoing knottily;represent honorable lazily;2025-01-16;Female;sequester ah;thoughtfully frequent conservation;dowse;stay never whoever;Single;provided probate greatly;to so oh;insistent gosh;season than that;especially upbeat provided;at object um;whoever mockingly joyful;straight evenly;blah gee upbeat;joyful turbulent impolite;an underneath;LocalAuthority;Temporary;NursingHome;Midlaands;immediately whereas;consequently;throughout blah;hole brr;certainly mosh lest
4;Technician;ferociously;Miss;save wisecrack;faithfully profane;yearly;2025-01-17;Female;what;whose bandwidth beneath;correctly defiantly fen;uh-huh;Married;memorable abscond unethically;oof hence writ;abnormally whose positively;past per slushy;rusty misfire ack;duh square;outstanding yum;arrogantly elevator indeed;knowingly near harangue;bobble unnaturally;now recklessly;LocalAuthority;Temporary;Laboratory;Harare;crafty come;than;instead which giggle;although hence yippee;unknown zowie consequently
5;State;along;Mr;legitimize;bah reiterate how;oh evil;2025-01-17;Female;ah toady huzzah;rule self-assured inventory;if consequently hippodrome;whoever asset stump;Married;worriedly political slope;lest;as amend;trusty expensive tomb;decongestant;hence deceivingly yahoo;with;cafe cautiously relieve;except;likewise;downshift;Private;Temporary;Mines;Harare;membership zowie;in besmirch separately;aha furthermore;however mmm;yippee
6;Technician;why;Miss;lest arrogantly whether;tangible since about;regarding;2025-01-17;Unknown;puzzled clearly;hope loudly;sundae to bravely;quirkily;Single;voluntarily square reproachfully;tinderbox roundabout;sans unfortunately;exploration straw;developmental inasmuch whether;baritone;verve unaccountably without;spiteful pace ouch;considering foolishly alienated;except finally;boo knowledgeable admired;Other;PartTime;Mines;MashonaLandWest;state chime;overcoat gosh;while internal;besmirch miserably;politely
7;MedicalResearchScientist;pertinent reborn ew;Dr;community;incandescence excepting meh;nocturnal;2025-01-17;Male;for overconfidently emboss;via arcade;uselessly bah plus;ajar ferociously;Other;lava;amend;since before;comfortable;uh-huh;overheard till;amidst viciously;whose;hm;late round;alongside typewriter;Other;Temporary;NursingHome;MashonaLandWest;apropos punctually;but since when;carefree moralise fishery;below whopping almost;likewise although brr
8;MedicalResearchScientist;excepting ugh how;Ms;save amid;though democratize;whoever;2025-01-17;Male;delightfully;stealthily mmm;tankful apropos;wherever;Married;till;excepting;whereas duh;assist phooey;liberalize scruple thankfully;aside;reel aw;wrongly surprisingly;finally kindly ice-cream;quarrelsomely;but;Government;PartTime;MobilePost;MashonaLandEast;the scrap;remark more lest;about lashes;irritably;gratefully
9;Blood;quaver vacantly than;Miss;opposite carefully;whoa negligible;ah;2025-01-17;Female;cruelly acidic;sarong ha too;perky;ah overspend;Married;puff;gadzooks infinite;eyeliner;once but snow;satirize soup evenly;continually which aside;strictly properly daily;whereas;likewise guidance;apud;exactly gentle;Private;PartTime;Laboratory;MatebelelandSouth;or;spirit competent oh;inasmuch;microchip meanwhile thigh;iridescence
10;POCTester;except expostulate;Dr;yowza access;pro;qua sharply;2025-01-17;Male;than ethyl;popularity;winged;as conjecture;Married;superficial joyously aha;mozzarella;comestible disposer;helpless;psst boohoo;forenenst;aggressive;over soap unimportant;given;intently debit inasmuch;ick husky as;Government;FullTime;Clinic;MatebelelandSouth;bashfully beneath;since failing round;omelet ultimately;where consequently;boastfully dish indeed
